video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=yb7e-bDEEYY&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@SmithsonianNMAI,SmithsonianNMAI,Standing Rock Dancers,13K weergaven,11 jaar geleden,Standing Rock Indian Reservation straddles the border between North and South Dakota. Their youth program reaches over 500 ...,2024-01-28 22:11:03.334147
/watch?v=xPZ80Au9TIE&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@eTownRadioShow,eTown,Raye Zaragoza - Driving to Standing Rock (Live on eTown),"1,3K weergaven",4 jaar geleden,"Up-and-coming folk singer/songwriter Raye Zaragoza performs 'Driving to Standing Rock' Live at eTown Hall in Boulder, ...",2024-01-28 22:11:03.337515
/watch?v=aO1mkv5pgC8&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@givepowerfoundation,GivePower Foundation,GivePower: Power for Standing Rock,860 weergaven,4 jaar geleden,Project coming: July 2019.,2024-01-28 22:11:03.338768
/watch?v=ZHwVBirqD2s&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UCcd0tBtip8YzdTCUw3OVv_Q,Elton John,Elton John - I'm Still Standing,205 mln. weergaven,13 jaar geleden,"Now in 4K! The video for ""I'm Still Standing"" was directed by Russell Mulcahy and filmed in Cannes and Nice, France. It is the ...",2024-01-28 22:11:03.340121
/watch?v=hkHuL_tgu9E&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UClEMmhYh_L1ZV7Nw6iq-2ng,Blackberry Smoke,Stand With Standing Rock (Waiting for the Thunder),130K weergaven,7 jaar geleden,"Compilation of #NoDAPL footage set to ""Waiting for the Thunder"" by Blackberry Smoke. Find out how you can help by visiting ...",2024-01-28 22:11:03.341392
/watch?v=_7UkWjPjLVA&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@France24_en,FRANCE 24 English,"US - After months of struggle, celebrations erupt among Standing Rock protesters","1,9K weergaven",7 jaar geleden,"A celebration erupted at the main protest camp in Cannon Ball, North Dakota, where the Standing Rock Sioux tribe and others ...",2024-01-28 22:11:03.342934
/watch?v=jG662XdJS_k&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@KXNewsND,KX News,Kyrie Irving receives tribal name from Sioux Tribe on Standing Rock Reservation,10K weergaven,5 jaar geleden,Kyrie Irving receives tribal name from Sioux Tribe on Standing Rock Reservation.,2024-01-28 22:11:03.344348
/watch?v=yGmwgi1yblQ&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UCHAyiHSDajCsHBGtdaPA95g,Raye Zaragoza,Driving to Standing Rock - Raye Zaragoza (Official Music Video),18K weergaven,5 jaar geleden,Driving to Standing Rock is about the joy & power of being a part of collective change. It is about the excitement of finding people ...,2024-01-28 22:11:03.345671
/watch?v=TVN8cCMlxOE&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@NBCNews,NBC News,Standing Rock Sioux Tribe Takes Pipeline Fight To U.N. | NBC News,"4,9K weergaven",7 jaar geleden,"NBC News is a leading source of global news and information. Here you will find clips from NBC Nightly News, Meet The Press, ...",2024-01-28 22:11:03.346974
/watch?v=3oHbYtql87I&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@seanfeucht,Sean Feucht,Standing on the Rock - Sean Feucht - Let Us Worship - Colorado,"9,9K weergaven",1 jaar geleden,FULL ALBUM RELEASING SEPTEMBER 13TH!! Follow Sean: https://www.facebook.com/sean.feucht ...,2024-01-28 22:11:03.348156
/watch?v=bNhC_ukuKTs&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@RainbowGirlsMusic,Rainbow Girls,"Rainbow Girls - ""Song For Standing Rock"" | TINY DESK CONTEST 2017",33K weergaven,7 jaar geleden,"www.RainbowGirlsMusic.com www.facebook.com/RainbowGirlsMusic. Hello Bob, Anthony, Miguel, Trey, Ben, BANKS, Rita, Talia, ...",2024-01-28 22:11:03.349326
/watch?v=0lLlMLXiBjI&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@DemocracyNow,Democracy Now!,Standing Rock: Police Arrest 120+ Water Protectors as Dakota Access Speeds up Pipeline Construction,48K weergaven,7 jaar geleden,"http://democracynow.org - We go to North Dakota for an update on the ongoing Standoff at Standing Rock, where thousands of ...",2024-01-28 22:11:03.350643
/watch?v=TDY_KN66dno&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@insideenergy6643,Inside Energy,Trailer: Beyond Standing Rock,6K weergaven,7 jaar geleden,2017 (NR) 57 min. Director: Brian Malone Synopsis: BEYOND STANDING ROCK takes a close-up look at the controversy on the ...,2024-01-28 22:11:03.353491
/watch?v=OYiega7qVIE&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UCRmxz4fw_LzwQF19LKXgRVg,Rising Appalachia,Rising Appalachia - Wider Circles (Live from Standing Rock),64K weergaven,5 jaar geleden,Wider Circles live AT Standing Rock November 2016. Tiny Tent concert series with Indigenous Rising Media.,2024-01-28 22:11:03.356040
/watch?v=6msNeEG1Q50&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@TheVeganZombie,The Vegan Zombie,Inside Standing Rock - What is Dakota Access Pipeline?,27K weergaven,7 jaar geleden,FOLLOW OUR ADVENTURES: Subscribe to The Vegan Zombie http://youtube.com/zombiegate 2nd Channel ...,2024-01-28 22:11:03.357837
/watch?v=dyzzEnRR8f8&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@yolandapushetonequa7872,Yolanda Pushetonequa,Standing Rock by Trevor Hall with footage #NoDAPL #StandingRock,365K weergaven,7 jaar geleden,New video with footage. Pulled from Buzzfeed. Original youtube video without footage was originally uploaded 8-31-16 and its ...,2024-01-28 22:11:03.359055
/watch?v=KfA20fJ-ckc&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CBSEveningNews,CBS Evening News,Standing Rock protesters celebrate halt to Dakota Access Pipeline,"1,3K weergaven",7 jaar geleden,The Army Corps of Engineers refused to issue a permit for a section of the controversial Dakota Access Pipeline near the Standing ...,2024-01-28 22:11:03.360512
/watch?v=PP-NBTnrOhM&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@BBCNews,BBC News,"Standing Rock protest: Sioux tribe in North Dakota hail it an ""historic decision"".- BBC News",17K weergaven,7 jaar geleden,The US Army has decided not to allow a controversial oil pipeline to cross under a lake it controls in North Dakota. The Standing ...,2024-01-28 22:11:03.362180
